game_no,Home_team,Away_team,half_time_score,home_score,away_score,home_odds,draw_odds,away_odds,outcome,home_wins,draws_no,away_wins,game_count,game_id
3,AST,ARS,0-0,1,2,2.25,3.45,3.20,2,2,0,2,4,32
4,BOU,LUT,1-0,3,1,2.17,3.5,3.35,1,3,0,0,3,33
5,ARS,BOU,1-0,1,0,1.37,5.25,8.25,1,1,0,0,1,34
6,ARS,CRY,1-0,1,1,1.99,3.85,3.5,x,0,2,0,2,35
7,ARS,CRY,1-0,1,1,1.59,4.4,5.25,x,0,2,0,2,35
8,BHA,WHU,1-0,1,0,1.94,3.8,3.75,1,2,0,1,3,36
9,AST,ARS,1-0,2,1,2.25,3.45,3.20,1,2,0,2,4,32
10,BHA,SHU,1-1,2,1,1.47,4.55,6.75,1,2,0,0,2,37
1,AST,LUT,1-0,1,1,1.35,5.25,8.5,x,1,1,1,3,38
2,BHA,WOL,0-1,2,2,1.59,4.4,5.25,x,0,3,0,3,10
3,AST,LIV,1-1,1,1,2.14,4.05,3.05,x,1,2,0,3,39
4,ARS,EVE,0-0,2,3,1.66,4.1,4.95,2,0,1,2,3,40
5,AST,BRE,0-0,0,0,1.78,3.8,4.45,x,2,2,0,4,28
6,ARS,MUN,3-1,3,4,1.99,3.85,3.5,2,0,0,1,1,41
7,AST,ARS,0-3,1,3,2.25,3.45,3.20,2,2,0,2,4,32
8,ARS,NOT,3-0,4,0,1.91,4.25,3.5,1,2,0,0,2,24
9,AST,LIV,0-0,0,0,2.14,4.05,3.05,x,1,2,0,3,39
10,ARS,CHE,3-0,4,1,2.03,3.9,3.35,1,1,0,1,2,42
1,BHA,FUL,1-1,2,3,1.39,5.25,7.25,2,0,1,1,2,43
2,BHA,ARS,1-0,2,0,1.55,4.4,5.75,1,2,0,1,3,27
3,ARS,BHA,2-0,3,1,1.99,3.85,3.5,1,4,0,2,6,2
4,BHA,ARS,1-0,2,0,2.3,3.75,2.95,1,2,0,1,3,27
5,ARS,NEW,1-0,2,3,1.98,3.95,3.5,2,2,0,1,3,13
6,AST,BRE,1-1,2,1,1.78,3.8,4.45,1,2,2,0,4,28
7,ARS,NEW,1-1,3,1,1.98,3.95,3.5,1,2,0,1,3,13
8,AST,CHE,1-0,2,0,2.3,3.75,2.95,1,1,0,1,2,5
9,ARS,CHE,0-1,1,3,2.21,3.7,3.1,2,1,0,1,2,42
10,ARS,TOT,1-2,2,3,1.93,4.0,3.6,2,1,0,2,3,44
1,ARS,SHU,2-0,4,1,1.39,5.0,7.75,1,2,1,0,3,11
2,ARS,EVE,0-0,0,0,1.66,4.1,4.95,x,0,1,2,3,40
3,ARS,TOT,1-1,3,2,1.93,4.0,3.6,1,1,0,2,3,44
4,ARS,EVE,0-1,0,3,1.66,4.1,4.95,2,0,1,2,3,40
5,BHA,CRY,0-0,2,0,1.71,4.05,4.65,1,2,0,0,2,45
6,AST,BOU,2-0,5,2,1.47,4.55,6.75,1,2,0,1,3,0
7,BOU,LIV,0-0,0,4,4.05,4.15,1.8,2,1,0,1,2,46
8,AST,SHU,0-1,2,2,1.49,4.5,6.5,x,1,1,0,2,47
9,BOU,AST,0-0,0,0,3.85,3.75,1.93,x,0,2,0,2,48
10,BRE,LUT,1-1,3,2,1.76,3.75,4.75,1,1,0,1,2,49
1,BOU,ARS,0-1,0,1,4.45,4.0,1.75,2,0,0,2,2,50
2,AST,EVE,0-0,2,0,1.82,3.8,4.25,1,1,0,0,1,51
3,BRE,SHU,0-0,1,1,1.83,3.65,4.45,x,1,2,1,4,52
4,CHE,FUL,2-2,3,4,1.5,4.6,6.0,2,0,1,2,3,53
5,BRE,CHE,1-0,1,0,3.0,3.55,2.3,1,1,0,1,2,54
6,BHA,EVE,2-1,3,2,1.78,3.8,4.45,1,2,0,0,2,55
7,BHA,EVE,2-1,3,2,2.21,3.5,3.25,1,2,0,0,2,55
8,BHA,MCI,0-2,1,2,2.4,3.8,2.75,2,0,0,1,1,56
9,CHE,ARS,0-0,0,3,2.19,3.85,3.05,2,1,0,3,4,57
10,BHA,BRE,2-1,2,2,1.75,3.85,4.7,x,1,2,1,4,9
1,BHA,AST,0-0,2,0,2.08,3.75,3.35,1,1,0,1,2,25
