,homeTeam,awayTeam,homeOdds,drawOdds,awayOdds,homePastWins,homePastDraws,homePastLosses,awayPastWins,awayPastDraws,awayPastLosses,homeGoalDiff,awayGoalDiff,result,check
3,7,0,2,4.15,3.3,3,4,2,7,1,1,6,11,0,CHE - LIV
4,3,14,1.88,4,3.8,4,4,1,2,0,7,4,-9,1,MCI - BHA
5,9,12,2.16,4.05,3,6,3,0,7,2,0,12,15,2,MUN - ARS
6,4,11,1.53,4.5,5.75,5,3,1,2,4,3,8,0,0,NEW - FUL
7,13,16,2.13,3.5,3.45,1,4,4,1,4,4,-9,-7,2,SHU - LUT
8,2,15,1.65,4.15,4.95,7,0,2,4,1,4,11,0,2,TOT - WOL
9,6,8,1.88,3.85,3.95,4,3,2,3,1,5,7,-8,1,WHU - CRY
10,1,6,1.99,3.8,3.6,1,4,5,4,4,2,-7,7,2,AST - WHU
11,14,19,1.45,4.6,7,2,1,7,1,2,7,-9,-11,0,BHA - BOU
12,18,10,1.86,3.8,4.05,0,6,4,3,2,5,-8,-9,2,BRE - NOT
13,7,17,1.44,4.75,7,4,4,2,1,3,6,9,-6,0,CHE - BUR
14,11,8,2.45,3.65,2.75,2,4,4,3,2,5,-3,-8,1,FUL - CRY
15,0,4,2.07,4.1,3.15,7,1,2,6,3,1,8,11,2,LIV - NEW
16,9,3,2.3,4.05,2.75,6,3,1,4,5,1,10,4,0,MUN - MCI
17,13,5,2.95,3.4,2.45,1,4,5,5,1,4,-10,0,0,SHU - EVE
18,2,16,1.43,4.85,7.25,7,0,3,2,4,4,9,-6,1,TOT - LUT
19,15,12,3.35,3.75,2.07,5,1,4,8,2,0,2,17,2,WOL - ARS
20,17,4,3.85,3.8,1.92,1,3,7,7,3,1,-7,13,0,BUR - NEW
21,7,18,1.69,4,4.9,5,4,2,0,6,5,10,-9,0,CHE - BRE
22,8,0,2.8,3.95,2.3,3,3,5,7,1,3,-8,6,2,CRY - LIV
23,5,2,2.75,3.55,2.5,5,1,5,7,1,3,-2,9,1,EVE - TOT
24,11,1,3.25,3.7,2.14,2,5,4,1,4,6,-3,-8,2,FUL - AST
25,3,12,1.97,4.05,3.45,4,5,2,9,2,0,1,18,0,MCI - ARS
26,9,19,1.38,5.25,7.5,7,3,1,1,2,8,13,-13,0,MUN - BOU
27,13,10,2.3,3.65,3,2,4,5,4,2,5,-8,-8,0,SHU - NOT
28,6,14,2.45,3.6,2.8,5,4,2,3,1,7,8,-7,1,WHU - BHA
29,15,16,1.82,3.75,4.35,5,1,5,2,5,4,1,-6,0,WOL - LUT
30,12,19,1.37,5.25,8.25,9,2,1,1,2,9,17,-14,1,ARS - BOU
31,8,17,1.79,3.85,4.35,3,3,6,2,3,7,-9,-6,1,CRY - BUR
32,11,14,3.4,3.7,2.08,2,5,5,3,2,7,-4,-7,1,FUL - BHA
33,0,1,2,4.1,3.3,8,1,3,2,4,6,7,-7,0,LIV - AST
34,16,5,3.1,3.4,2.35,2,5,5,5,2,5,-7,-2,2,LUT - EVE
35,9,6,1.83,4.15,3.85,8,3,1,5,5,2,14,8,1,MUN - WHU
36,4,18,1.72,3.95,4.75,7,3,2,0,6,6,12,-11,0,NEW - BRE
37,13,7,4.1,3.8,1.85,3,4,5,6,4,2,-6,12,2,SHU - CHE
38,2,10,1.48,4.8,6,7,2,3,4,2,6,9,-10,0,TOT - NOT
39,15,3,3.65,3.85,1.96,6,1,5,5,5,2,2,2,0,WOL - MCI
40,12,6,1.79,4.05,4.15,9,3,1,5,6,2,17,8,1,ARS - WHU
41,18,8,2.21,3.5,3.25,0,6,7,3,4,6,-12,-9,0,BRE - CRY
42,17,1,3.65,3.7,1.99,2,4,7,2,4,7,-6,-9,0,BUR - AST
43,7,2,2.01,3.9,3.4,7,4,2,8,2,3,14,12,0,CHE - TOT
44,0,14,2.07,4,3.15,9,1,3,3,3,7,9,-7,0,LIV - BHA
