game_no,home_odds,draw_odds,away_odds
1,2.15,3.80,3.15
2,2.50,3.50,2.80
3,2.75,3.55,2.50
4,2.07,4.10,3.15
5,4.15,3.80,1.85
6,1.55,4.40,5.75
7,2.09,4.00,3.15
8,2.70,3.60,2.55
9,1.58,4.20,5.50
10,3.35,3.75,2.07
